FIPS,y17_M059_valueNumeric,y17_M061_valueNumeric,y17_M063_valueNumeric,y17_M066_valueNumeric,y17_M068_valueNumeric,y17_M070_valueNumeric,y17_M078_valueNumeric,y17_M079_valueNumeric,y17_M080_valueNumeric,y17_M081_valueNumeric,y17_M082_valueNumeric,y17_M083_valueNumeric
1125,11.2,0.4,2.78,17.86,29.03,0.78,8.15,24.61,,50.22,6.03,7.19
1127,12.8,0.17,3.15,19.39,32.29,0.52,17.61,12.52,0,53.35,,0.19
1129,17.3,0.05,3.23,14.72,18.51,0.62,18.53,34.14,,62.36,23.75,19.4
1131,29.1,,4.73,8.28,27.21,3.78,15.47,2.55,0,26.53,,
1133,14.6,1.12,3.03,15.46,53.74,0.92,46.41,14.19,0.54,68.75,0,0.41
2010,0.4,0,0,,99.85,,1.12,,0,,,0
2020,0.1,3.22,0.04,31.06,,,5.12,0.41,,17.97,0.1,0.1
2090,0.1,1.08,0.05,18.78,10.5,15.67,1.36,0.54,0.03,12.91,,0.1
2110,0,3.8,0,,,0,5.88,,,0,0,0
2122,0.3,0.47,0.04,,76.3,,6.09,,,,,0
4001,77.5,0.21,0.42,0.1,88.04,0,15,0.17,0,1.27,0,0
4003,24.7,8.84,3.87,8.98,85.23,0,10.02,39.21,1.73,54.75,,2.85
4005,51.5,0.02,0.06,0.01,98.52,0,13.05,0.3,,,0,0.06
4007,39.9,0.11,0.08,0.08,61.95,0,2.47,0.91,,,0,
4009,43.6,3.62,1.77,3.34,91.74,0,4.13,17.61,3.22,65.12,24.46,2.4
4011,5.6,7.79,0.42,4.97,90.6,0,13.2,58.09,0,68.79,0,0
4012,8.7,38.9,3.56,38.52,,0,0.19,90.08,4.28,92.13,13.97,10.36
4013,8.1,37.98,4.37,39.51,34.75,0,8.55,60.71,7.75,66.48,11.71,6.07
4015,8.7,2.8,0.36,2.95,88.31,0,3.94,61.19,,43,,
4017,69.3,0.15,1.04,0.13,82.52,0,8.29,0.62,0.06,1.14,0.04,
4019,44.5,1.15,0.69,1.12,97.55,0,12.6,32.91,0.19,57.64,24.78,4.39
4021,32.6,20.72,8.56,20.99,68.92,0,15.06,62.94,2.67,69.04,22.23,2.05
4023,25,1.29,0.4,0.71,96.65,0,7.04,6.07,0.66,21.97,0.16,3.39
4025,15.8,0.92,0.15,0.4,96.86,0,14.28,34.83,,52.13,0.35,0.75
4027,7,73.37,6.64,78.4,,0,5.47,87.47,6.39,83.52,14.01,16.76
5001,65.5,75.86,56.73,81.12,1.68,3.53,1.26,78.18,7.63,94.57,1,59.35
5003,22.3,67.38,17.55,72.92,6.4,5.53,1.61,70.74,14.45,90.1,24.45,20.37
5005,28.6,0.03,3.74,10.4,60.79,0.61,36.01,7.94,0,86.84,,0.05
5007,44.9,0.09,13.44,25.79,57.12,0.27,37.61,5.3,0,67.04,,3.31
5009,81,0.1,11.2,11.27,66.87,0.21,69.67,6.18,0,98.11,,0.05
5011,7.1,1.57,1.49,16.76,37.22,0.62,11.18,10.99,0.76,26.87,,8.06
5013,4.7,,0.77,14.22,47.26,,11.18,9.52,0,26.22,0,
5015,72,0.01,13.53,15.01,63.87,,84.62,3.1,,52.15,,0.11
5017,74.6,71.98,66.27,85,2.03,5.81,2.79,84.46,5.64,80.15,8.68,24.72
5019,18.6,2.28,5.34,23.21,35.1,0.9,20.92,34.69,23.86,55.01,17.96,0
5021,70,72.89,63.08,85.36,5.85,2.1,0.86,42.24,6.57,88.82,15.11,16.47
5023,36.5,0.14,8.25,19.2,50.91,0.13,30.21,8.19,0,48.47,0,0.02
5025,8.3,0.18,1.75,19.49,34.87,0.48,41.78,12.64,0,42.66,,0
5027,11.1,0.53,2.47,19.02,41.83,0,36.22,22.46,0,72.77,0,
5029,48.6,10.85,22.6,37.27,39.05,0.56,31.17,21.19,,60.97,,5.13
5031,71,78.99,64.84,87.76,4.24,0.25,1.33,66.51,6.05,91.71,27.4,34.93
5033,32.3,2.37,13.79,37.04,43.84,,13.47,10.77,,70.68,,0.14
5035,80.6,59.49,74.89,90.13,0.38,1.72,0.02,43.51,5.62,94.28,10.05,16.9
5037,69,76.61,63.82,87.01,2.64,2.91,2.21,62.02,3.6,93.71,2.14,47.82
5039,6.9,0.01,0.98,12.87,30.93,1.06,,0.07,0,7.25,0,0
5041,63.4,80.06,56.77,87,0.46,2.18,3.81,73.86,19.69,84.56,12.02,35.68
5043,25.2,42.73,14.53,52.52,14.71,1.97,13.19,77.65,10.5,73.42,21.58,33.76
5045,48.4,3.47,16.87,28.57,45.26,0.69,7.25,12.17,,42.37,0.05,1.56
5047,47.2,0.65,14.49,25.89,60.47,0.24,51.81,7.09,4.24,87.09,3.83,4.02
5049,56.6,0.63,6.96,9.09,70.83,0.04,26.69,8.02,0,89.95,0,0
5051,7.8,0.26,1.89,19.62,55.33,0,22.5,2.23,,25.26,,0.13
5053,12.2,0.61,1.87,12.94,39.67,0.27,7.25,10.86,0.04,67.72,0,0.05
5055,70.6,63.11,58.06,76.34,8.89,0.81,1.51,59.14,3.92,84.97,18.22,16.68
5057,40,,11.06,21.55,58.31,1.62,53.03,15.82,0,54.69,,0.1
5059,19.6,0.48,5.18,16.54,48.99,,12.66,7.85,0,31.64,,0.07
5061,39.8,0.29,9.16,19.4,50.72,,84.13,19.2,,86.34,,
5063,54.7,10.27,17.06,25.5,45.24,1.93,20.18,28.54,2.27,79.96,,8.43
5065,51,0.14,8.54,11.7,60.39,,35.35,15.03,,80.97,,
5067,66.7,69.38,60,78.71,3.91,4.24,2.06,33.18,2.15,85.41,3.69,12.67
5069,52.5,72.8,45.5,80.46,3.33,6.77,2.09,67.53,10.23,81.94,5.19,31.09
5071,24.5,1.31,9.2,32.65,47.39,0.03,57.15,3.4,,50.26,,0.31
5073,39.4,18.24,20.03,37.54,39.84,0.21,14.77,37.14,0,73.41,10.19,7.48
5075,71.7,54.59,54.28,65.31,17.8,1.35,3.01,54.41,,83.68,14.91,18.35
5077,66.9,65.74,63.97,92.88,1.52,0.54,0,53.57,3.77,94.68,20.33,24.91
5079,58.1,64.87,44.93,71.17,7.84,4.07,5.21,74.8,2.6,86.11,16.49,33.56
5081,46.8,6.43,17.07,33.66,41.98,0.19,11.91,42.8,,64.42,10.5,15.45
5083,41.3,,13.9,29,51.25,,60.06,15.81,0,81.5,0,
5085,74.4,61.1,57.75,70.94,6.5,4.58,3.85,58.29,3.09,86.04,2.03,35.07
5087,52,0.25,11.37,16.95,57.99,0.05,74.47,4.29,,72.54,0,0.04
5089,46.9,0.2,6.07,10.75,70.7,0,69.38,8.31,0,87.92,0,
