FIPS,y17_M059_valueNumeric,y17_M061_valueNumeric,y17_M063_valueNumeric,y17_M066_valueNumeric,y17_M068_valueNumeric,y17_M070_valueNumeric,y17_M078_valueNumeric,y17_M079_valueNumeric,y17_M080_valueNumeric,y17_M081_valueNumeric,y17_M082_valueNumeric,y17_M083_valueNumeric
19017,94,0.21,86.41,86.48,2.43,4.55,9.43,45.59,7.33,89.2,,14.19
19019,90.2,0.04,84.7,89.82,3.03,2.94,11.07,38.46,6.29,85.91,,16.59
19021,96.9,,91.01,90.8,3.07,2.66,19.39,39.66,7.18,90.67,0,11.92
19023,96.8,0.46,89.82,86.46,2.53,6.33,9.95,32.52,6.02,83.66,,14.97
19025,96.3,0.2,91.58,89.41,2.7,3.68,7.84,29.82,8.28,85.23,0,7.47
19027,95.7,0.14,87.68,86.44,4.46,3.36,15.95,31.37,5.2,87.75,,9.07
19029,78.8,,66.99,78.08,10.6,4,6.42,18.05,3.32,87.86,,8.98
19031,91.8,0.09,83.01,87.04,5.27,2.58,7.63,30.55,4.03,94.6,0.12,8.48
19033,87.9,0.16,83.92,90.51,2.2,3.88,3.41,51.64,4.46,91.97,0.45,16.26
19035,91.7,0.01,81.1,84.69,7.33,3.14,14.03,30.28,2.96,90.57,,8.63
19037,90.8,0.12,83.39,86.68,3.34,4.64,11.42,48.03,5.71,87.46,,19.18
19039,69.9,,40.67,34.68,32.74,16.59,5.15,12.17,6.57,40,,1.71
19041,90.7,0.23,84.52,86.55,3.17,6.14,8.77,45.36,11.2,91.35,0.11,12.07
19043,82.8,0.1,61.31,63.39,10.56,9.08,11.55,31.56,4.01,73.26,0.63,15.16
19045,90.5,0.11,80.69,83.74,6.15,3.42,9.05,36.19,10.06,88.7,,8.48
19047,96.2,0.12,85.55,83.03,7.51,3.74,7.11,30.92,4.6,91.07,0.01,11.68
19049,77.9,0.27,68.41,82.78,6.89,3.8,5.81,35.69,4.04,91.29,,14.88
19051,61.8,0.06,37.88,48.72,27.2,8.04,11.34,9.5,4.44,56.83,,1.88
19053,69.4,,41.9,41.57,32.81,13.78,5.05,5.52,2.36,52,0,4.55
19055,98.6,0.09,86.97,82.42,5.78,4.62,23.29,40.15,6.99,83.17,,11.9
19057,65.6,2.6,54.02,76,7.35,5.05,4.85,33.15,6.92,85.96,,17.41
19059,76.9,0.53,72.47,89.6,3.87,3.91,8.7,53.93,8.84,90.23,,15.35
19061,80.5,0.14,66.4,76.09,10.9,3.67,26.89,37.24,4.01,67.23,0.04,3.99
19063,90.7,0.36,83.62,87.93,4.86,4.15,13.17,47.97,10.35,92.13,0,5.42
19065,82.3,0.35,72.17,79.42,5.79,7.46,12.33,29.44,5.69,83.29,,15.95
19067,97,0.68,89.35,85.21,3.32,6.2,11.91,48.66,6.95,90.61,,16.88
19069,93.8,0.06,88.61,90.64,2.76,3.53,16.31,32.64,2.84,92.29,0,13.2
19071,83.8,6.23,75.57,85.2,4.23,2.64,3.09,33.06,10.05,92.32,0,12.94
19073,96.4,0.02,88.6,88.5,3.42,2.75,7.46,26.75,9.07,92.42,,11.71
19075,95.9,0.01,92.24,93.97,1.79,1.51,7.99,46.34,7.6,93.28,,24.17
19077,87.9,,71.01,69.91,11.89,9.03,8.16,25.8,3.48,75.08,,11.31
19079,85.4,,80.25,90.37,0.84,3.02,14.21,27.03,6.34,88.32,,7.29
19081,94.5,1.04,91.65,91.76,1.18,3.24,9.62,46.85,10.04,92.86,0,13.62
19083,92.4,,85.25,88.2,5.11,2.99,21.85,38.86,6.87,93.47,,11.28
19085,85.1,11.42,75.39,83.12,6.3,4.7,2.54,33.41,9,90.46,0,13.41
19087,94.2,0,76.91,70.35,8.49,9.5,6.89,24.48,3.64,82.06,,4.55
19089,98.8,0.17,90.35,84.23,3.03,6.44,13.08,32.53,2.87,81.72,,12.08
19091,86.2,0.11,83.03,90.84,1.41,3.26,7.59,50.26,12.16,92.49,,13.69
19093,95.3,,86.63,88.05,4.69,2.3,11.71,36.03,3.26,93.01,0.13,23.51
19095,92.3,,75.51,70.98,10.9,7.96,7.54,20.42,4.54,81.6,0.05,9.07
19097,77.6,0.07,56.12,61.75,20.23,6.58,13.06,34.81,4.58,72.53,,5.36
19099,80.9,0.15,68.45,79.66,7.28,2.92,6.47,34.32,6.44,88.61,0.04,13.29
19101,73.9,0.06,61.13,69.13,7.69,10,4.35,22.91,13.59,76.25,0,8.5
19103,77.4,0.31,67.4,79.98,7.59,4.98,9.88,26.79,5.62,80.03,0.04,6.39
19105,93.3,0.02,77.62,76.48,11.13,5.6,13.58,37.95,7.22,83.55,,9.08
19107,85.8,0.02,70.93,69,10.71,12.02,9.61,25.89,7.4,74.97,0.05,7.52
19109,95.4,0.35,92.11,90.88,1.14,4.74,11,46.55,8.79,87.34,,13.34
19111,66.5,0.49,50.25,66.8,9.76,7.5,6.68,37.31,4.11,76.55,0.02,9.2
19113,70.7,0.22,62.02,82.02,6.79,3.39,6.45,29.23,10.24,85.6,0.01,11.99
19115,73.9,8.89,64.3,78.79,4.56,7.5,7.83,27.34,4.98,86.54,0.09,11.15
19117,63.7,0.01,38.81,43.64,30.19,12.74,3.54,10.14,1.08,50.49,,0.82
19119,92.1,0.41,84.61,90.44,4.32,0.75,30.94,42.12,4.42,93.04,0.13,4.46
19121,75.5,0.19,49.93,57.21,22.56,7.16,6.26,16.36,1.21,78.74,,10.2
19123,85.2,0.04,71.95,73.81,8.07,8.61,10.82,20.92,6.56,82.27,,6.24
19125,71.9,0.05,55.15,64.25,13.99,9.9,5.67,19.91,4.26,70.79,0.06,9.43
19127,86.4,0.01,79.04,86.2,4.61,3.96,9.3,45.16,13.23,88.82,,24.88
19129,74.1,0.93,67.48,86.48,2.45,2.65,0.71,29.89,3.6,89.68,,13.19
19131,96.3,0.64,90.58,88.59,2.42,2.54,15.84,51.88,13.55,91.89,0.11,21.69
19133,75.2,18.09,66,81.36,6.92,4,4.55,27.17,3.85,88.02,,10.01
19135,69.6,,41.04,41.16,26.78,14.5,4.37,16.66,5.23,48.9,0,5.01
19137,90.2,,78.55,78.39,7.39,5.45,3.15,23.35,3.65,83.4,,11.81
19139,78.3,4.74,66.95,79.24,6.34,4.99,9.94,30.47,7.14,86.89,0,9.4
19141,85.7,0.25,80.17,91.29,3.82,1.61,18.03,50.09,3.5,90.51,,13.84
19143,92,0.65,88.17,92.71,1.6,2.85,15.08,52.32,3.66,89.12,,10.82
19145,95.1,0.16,79.62,78.51,10,3.24,3.07,15.24,3.29,90.62,0,11.78
19147,94.8,1.98,91.28,90.62,1.32,5.3,15.03,53.6,13.17,87.76,0,9.44
19149,91.2,0.55,81.97,86.59,7.07,1.73,17.86,23.18,2.2,90.64,,4.2
19151,89.2,0.13,86.48,93.94,0.87,2.47,10.89,45.62,11.66,92.26,,16.32
19153,52.9,0.39,47.45,84.77,5.32,2.72,3.57,31.79,10.77,85.7,0,8.77
19155,84.1,0.5,76.46,87.87,4.84,1.69,5.4,40.14,2.74,90.35,,13.57
19157,90.7,0.02,78.45,77.32,7.95,5.56,9.79,27.58,5.61,81.95,0,11.21
19159,88.5,,60.96,45.79,27.63,16.01,4.64,8.19,2.79,49.7,0,1.82
19161,96,0.21,89.86,89.97,3.06,3.1,16.31,31.89,6.43,89.76,0.08,12.64
19163,75,0.85,68.81,86.63,3.93,2.8,6.77,43.18,8.13,89.74,0.08,9.16
19165,98,,90.85,87.71,4.16,3.73,6.3,35.33,6.43,90.82,0.15,12.76
19167,98.4,1.99,92.27,91.56,2.48,1.52,33.92,39.01,4.69,92.13,0.09,5.08
19169,82.9,0.12,77.55,88.71,2.71,3.12,9,40.04,13.41,90.51,0.06,22.26
19171,88.2,0.02,78.48,81.06,6.67,5.7,6.75,31.72,6.71,86.39,0.14,18.3
19173,84.8,,66.18,63.33,15.34,12.07,4.34,10.74,1.06,76.6,0,2.57
19175,90.7,,65.14,59.76,21.97,8.41,5.74,13.01,4.28,68.84,0,5.9
19177,67.8,0.01,45.04,52,19.49,11.63,6.31,19.53,4.54,60.62,,0.92
19179,72.2,0,55.35,66.18,12.11,9.43,4.04,24.35,6.73,64.12,,1.47
19181,67.8,0.02,49.83,61.68,16.47,8.61,2.63,17.53,3.77,72.42,0.02,7.53
19183,85.3,0.09,72.44,73.06,6.56,10.28,20.24,31.95,7.15,81.98,,16.7
19185,84.8,0,60.01,54.16,22.29,14.6,2.61,24.92,,63.07,0.07,1.25
19187,89.4,0,84.52,90.78,2.32,3.71,6.84,28.71,10.17,92.6,,10.65
19189,96,0,91.48,87.34,1,7.27,10.88,48.61,7.46,89.63,0.04,13.8
19191,88.6,0.01,73.07,73.61,8.13,7.59,19.05,29.75,3,73.59,,9.38
19193,80.7,1.03,70.81,79.8,7.87,7.56,6.97,18.56,3.93,86.01,,3.77
19195,93.3,0.65,87.12,88.59,1.93,4.11,2.96,44.5,9.09,85.43,,12.83
19197,95.9,0,91.68,90.72,1.48,3.28,9.32,26.86,6.05,91.69,,7.87
20001,74.9,0.23,41.55,47.94,41.85,3.22,1.23,26.13,2.29,69,0,3.35
20003,98.3,0.8,65.27,61.41,28.71,2.11,2.76,27.15,2.43,79.29,0,2.7
20005,85.5,0.41,63.16,68.37,20.58,1.18,3.34,20.92,1.73,85.57,0,3.49
20007,87,2.25,32.59,31.26,62.34,1.16,0.41,24.95,,77.64,2.39,22.46
20009,97.4,5.18,74.22,56.46,22.64,3.9,0.98,15.45,0.4,66.32,,7.82
20011,82.6,0.19,32.47,32.55,55.93,3.23,3.67,15.04,0.29,58.42,,2.86
20013,85.3,2.58,70.78,78.62,10.05,1.59,1.66,34.62,4.38,93.5,0,14.08
20015,87.2,0.34,35.35,37.64,55.38,0.08,4.23,19.92,2.73,78.09,0.03,5.31
20017,72.8,,13.19,16.57,79.88,,1.79,14.55,,66.22,0,7.41
20019,70.5,0.01,10.17,11.63,83.98,1.19,0.12,15.35,0,110.64,,1.78
20021,84.9,0.31,62.48,70.15,23.22,0.22,8.42,52.05,6.32,94.46,0.17,18.93
20023,81.1,8.23,52.2,38.4,34.68,5.14,1.74,21.55,0.35,69.78,1.32,12.26
20025,69.6,0.62,25.04,17.62,64.76,8.73,9.18,5.67,0,84.47,0,10.08
20027,93.5,8.01,62.89,61.94,29.67,2.98,2.63,17.03,1.92,88.29,0.84,9.79
20029,70.3,5.24,44.38,57.25,34.11,2.48,0.36,24.47,,88.39,,5.03
20031,96.3,0.3,54.58,45.64,37.28,4.25,1.84,17.92,2.98,68.05,0.01,4
20033,89.9,1.11,30.18,22.46,67.5,1.77,0.26,6.21,,67.39,0,1.84
20035,78.2,0.32,32.32,37.32,56.58,0.48,0.4,30.53,0.42,81.17,6.11,15.79
20037,88.8,0.41,55.23,57.06,31.16,1.85,3.52,45.87,1.37,78.9,1.72,11.09
20039,73.4,1.58,44.47,38.59,37.84,1.08,0.88,11.18,0.1,83.51,1.98,12.74
20041,95.8,0.84,67.23,60.4,26.52,5.24,3.37,19.59,1.9,76.75,0.24,8.88
20043,70.5,1.01,57.55,77.06,10.16,2.36,3.51,44.98,13.16,88.74,,27.37
20045,79,1.53,54.59,59.98,24.52,1.71,1.82,7.95,0.32,72.61,0.1,0.94
20047,98.5,18.18,69.13,52.5,28.88,4.17,0.31,13.92,0.1,75.42,,13.31
20049,59.9,0,13.79,18.4,76.55,0.95,2.45,27.26,,103.46,0.17,
20051,87.1,0.32,46.96,31.66,43.89,4.39,1.33,4.69,0.21,73.96,0.12,2.26
20053,85.1,0.13,43.66,36.7,47.68,4.59,0.34,4.62,,64.16,0,1.33
20055,94.9,23.57,81.54,57.16,13.87,5.72,2.16,27.27,0.6,82.93,0.12,13.21
20057,95.3,10.01,75.28,48.26,19.08,4.8,1.16,15.24,0.11,70.28,,13.58
20059,97.1,1.21,60.82,55,31.43,1.83,3.1,28.34,0.75,76.42,0.03,2.12
20061,63,1.79,26.46,35.7,54.79,1.24,2.22,15.42,,65.12,0,2.21
20063,82.7,2.36,52.83,39.77,34.83,7.46,1.08,8.75,0.09,76.91,0,9.28
20065,81.8,2.61,48.46,34.01,38.01,9.29,0.33,7.68,0.08,65.16,,4.76
20067,97.5,23.21,82.81,52.99,13.14,9.76,5.22,31.61,0.57,69.16,1.27,9.8
20069,100,21.02,79.01,52.86,19.06,6.47,4.91,22.28,0.58,82.16,0.17,11.16
20071,95.3,4.17,87.76,50.96,7.58,5.46,1.29,8.65,,59.19,0,3.34
20073,84.2,,15.36,14.33,76.3,0.65,1.34,19.12,1.55,94.54,,2.91
20075,85.3,3.76,68.27,32.46,19.13,17.77,4.93,10.38,,47.62,0,6.85
20077,95.4,0.67,65.73,56.14,32.47,2.89,0.46,26.73,0.15,71.7,2.7,7.09
20079,99.6,11.74,86.24,81.6,11.06,0.76,2.03,21.15,1.28,81.49,,14.28
20081,98.4,32.15,86.82,64.88,11.68,3.84,4.82,32.3,,74.46,0.7,14.56
20083,89.9,5.52,58.12,33.8,34.09,8.93,0.91,6.25,0.1,61.8,,5.99
20085,79.7,0.28,40.15,43.9,42.95,3.16,2.86,14.65,0.52,73.09,0,2
20087,74.9,1.6,44.97,53.99,31.23,2.49,1.68,21.66,1.54,65.35,,2.79
20089,79.5,1.21,50.41,57.8,34.33,1.87,0.95,5.64,1.01,85.93,,7.49
20091,28.7,0.62,18.61,57.23,22.3,0.89,5.63,18.58,,63.52,0,1.91
20093,92.7,10.31,74.67,44.24,19.62,9.68,2.11,8.99,,60,,13.09
20095,93.5,3.22,57.28,49.86,36.63,4,0.67,13.13,0.68,54.84,1.23,9.8
20097,95.8,12.82,55.42,35.4,41.43,8.6,0.48,12.9,0,63.57,1.88,14.92
20099,96.7,0.07,53.33,52.42,41.64,0.46,3.65,41.92,0.05,85.74,,5.7
20101,90.8,2.45,67.82,35.82,25.16,13.83,1.11,3.9,0,70.98,0.08,1.73
20103,65.6,0.06,37.77,50.76,30.23,1.41,3.29,20.23,2.18,72.3,0.01,4.18
20105,83.6,0.14,43.34,39.34,46.3,3.45,0.17,6.92,0,78.29,0,5.64
20107,79.4,,41.27,45.66,36.44,3.07,2.42,22.83,8.12,73.57,0.31,
20109,88,1.88,49.52,36.2,41.12,2.94,3.03,8.36,,67.29,0.57,3.61
20111,96.4,,49.32,42.16,48.3,2.34,0.62,21.15,0.43,76.36,,3.26
20113,97.1,7.05,72.28,68.15,23.87,1.5,2.94,13.4,2.31,79.96,,12.9
20115,94,0.58,55.38,53.21,38.13,1.49,3.7,22.06,0.32,84.6,,7.88
20117,86.8,0.99,62.74,67.05,23.48,1.51,1.75,8.7,2.24,85.26,0,0.4
20119,93.9,15.95,52.97,36.03,42.39,8.06,2.37,32.53,0.82,70.67,,7.42
20121,80.3,0.54,49.28,55.32,34.37,1.11,6.23,27.46,3,73.12,0.06,4.5
20123,92.2,1.61,66.31,64.48,26.5,1.05,0.7,7.31,0.19,85.2,0,6.97
20125,88.8,0.77,49.26,52.54,40.7,0.32,4.04,29.69,0.38,84.03,0.01,7.46
20127,92,0.2,38.37,34.07,59.64,0.86,1.64,15.28,0.58,74.36,,4.73
20129,85.9,7.97,70.87,37.3,16.05,21.97,0.25,15.44,,59.89,0.23,2.36
20131,87.2,0.25,62.31,66.21,24.36,1.97,4.99,15.14,1.07,85.75,,3.99
20133,88.3,0.26,46.46,47.27,43.06,1.51,8.11,48.84,0.15,82.42,,6.53
20135,97.2,0.55,58.83,28.84,38.59,12.2,0.09,1.51,,58.28,,2.59
20137,88.1,4.11,50.54,41.74,40.45,3.69,1.14,8.16,0.31,76.31,,1.45
20139,97.3,0.29,55.95,51.31,36.82,2.67,0.5,14.09,2.33,78.39,,3.39
20141,76.5,1.29,40.03,40.89,45.36,3.03,1.23,6.17,0.13,81.75,,1.81
20143,95.2,1.48,52.51,49.82,42.36,1.89,0.61,8.72,0.64,91.14,0,7.82
20145,98.2,12.79,82.42,51.41,15.25,5.51,0.63,12.79,0.02,69.79,0.24,13.23
20147,87.7,1.28,44.83,41.7,45.83,1.89,1.07,6.42,0,86.28,0,4.2
20149,75.5,4.83,29.49,33.46,58.45,2.34,2.96,10,1.65,85.85,,0.75
20151,98.9,13.72,77.9,63.15,20.64,7.93,0.65,16.93,0.43,68.04,4.81,11.16
20153,88.2,2.38,52.01,37.82,39.17,0.76,0.53,10.33,0,73.94,0.35,17.63
20155,98.2,6.86,73.53,59.76,23.67,8.53,1.92,20.04,1.02,69.74,0.74,16.2
20157,81.3,10.77,58.61,67.33,25.2,1.81,0.72,14.56,1.03,94.57,,9.59
20159,99.7,6.45,78.76,68.59,19.82,2.38,1.92,11.13,,81.82,,13.06
20161,54.9,1.79,27.19,44.9,45.98,1,3.13,17.94,0.42,71.25,,2.95
20163,98,1.03,56.18,39.76,40.17,4.09,0.69,4.26,0.93,76.16,0,8.31
20165,97.6,1.93,70.35,42.33,26.84,11.2,1.16,3.24,0.19,63.87,0,6.88
20167,86.8,0.09,46.42,33.45,45.02,7.66,0.83,2.66,,78.02,0,0.98
20169,77.7,1.36,48.45,54.84,33.98,2,1.36,10.11,0.77,76.54,0.64,9.65
20171,100.2,6.33,79.62,54.96,19.91,2.48,11.11,8.29,,85.81,,10.8
20173,77.8,8.13,64.05,76.15,16.1,0.89,1.86,21.73,2.02,71.26,0.88,12.91
20175,88.2,26.47,64.44,46.49,25.34,11.8,2.64,29.03,0.68,60.68,,7.49
20177,57.9,7.27,36.33,57.1,29.16,1.88,1.34,17.16,2.02,72.33,0,2.54
20179,89.3,13.36,62.51,51.83,28.79,1.22,1.56,19.12,,76.38,,9.23
20181,91.5,15.7,72.74,47.43,20.34,5.07,0.58,11.5,0.18,73.76,0.14,9
20183,94.5,1.37,63.37,57.39,30.52,1.59,1.22,8.58,0.31,86.6,,4.07
20185,97.4,15.48,77.52,56.86,20.46,7.44,2.31,16.96,1.55,63.07,,10.6
20187,100,12.48,90.97,50.99,8.62,11.19,1.85,17.47,,59.17,0,5.44
20189,97.9,30.39,79.49,52.24,18.75,11.75,0.65,32.35,0.67,80.39,3.49,7.59
20191,100.2,3.39,83.35,78.84,13.6,0.73,0.61,24.59,1.47,76.15,1.83,13.71
20193,97.4,12.15,82.8,57.69,14.35,2.34,0.91,13.35,0.57,74.5,0.14,9.24
20195,90.5,1.07,48.54,30.87,45.11,4.25,0.38,9.78,0,68.26,,2.39
20197,74.5,2.29,22.47,24.08,66.42,2.99,2.47,4.77,0.91,69.87,0.92,1.48
20199,76.2,7.6,51.84,40.36,33.97,8.42,0.52,8.88,1.29,65.54,,3.94
20201,91.8,2.65,58.79,58.99,31.45,2.38,2.4,6.7,0.58,83.88,,4.59
20203,95.2,9.33,79.99,51.94,13.83,5.52,5.63,4.4,0.3,70.96,0.09,4.02
20205,78.6,0.63,49.35,58.59,34.4,0.89,1.55,41.12,0.01,91.14,0,6.13
20207,88.8,,42.5,42.64,49.36,0.69,2.26,49.06,1.65,76.79,0,2.93
20209,12.8,5.15,9.09,67.18,20.6,,1.18,20.9,20.47,73.71,0,0
21001,66.3,0.01,29.62,34.63,30.7,5.27,9.24,19.75,12.14,42.38,0.14,13.42
21003,76.5,0.14,33.68,29.5,44.66,5.69,4.57,14,0.23,39.65,1.55,1.25
21005,63.4,0.01,22.49,27.72,46.92,,6.64,3.16,,14.71,,0.13
21007,59.8,,47.7,73.86,7.91,1.93,2.29,55.1,9.54,90.9,,26.1
21009,81.3,0.04,45.32,46.71,35.29,2.23,8.72,33.1,3.08,55.54,1.33,4.63
21011,71.3,0.01,26.19,28.48,49.43,0.2,5.13,3.92,1,17.92,0.1,1.11
21013,6.6,0.03,1.48,16.82,38.91,0,8.24,0.38,0,2.55,0,
21015,50,0.13,23.2,35.68,29.54,0.05,5.37,15.33,,15.11,0.05,0.84
21017,92.1,0.33,40.39,34.67,50.11,0.49,8.36,15.16,0.67,39.34,0.91,2.63
21019,19,0.13,3.45,13.89,52.66,,14.99,0.17,0,11.54,0,0
21021,76.8,0.03,31.85,29.9,41.57,0.41,6.68,9.55,,26.68,,
21023,66,0.13,24.66,25.37,47.9,0.04,13.12,5.15,0.47,8.45,0.63,1.21
21025,7.4,0.11,1.14,6.95,24.03,0,5.13,0.95,0.36,13.2,,0.33
21027,75.8,0.02,34.93,37.23,27.98,2.14,5.59,30.64,4.78,58.62,0.34,13.44
21029,23.4,,10.17,37.87,35.16,0.06,6.15,3.64,0,44.79,0.04,0.35
21031,53.8,0.13,27.73,40.62,20.23,4.24,3.18,23.29,,66.8,1.8,22.56
21033,59,4.73,39.21,54.14,12.62,4.22,0.93,52.09,,78.29,,16.71
21035,55,2.13,41.61,66.91,11.87,3.14,3.13,46.43,7.79,83.38,0.34,16.4
21037,47.6,0.06,16.39,29.62,42.77,,18.4,1.72,0.4,9.94,0.25,0.28
21039,72.6,1.88,60.31,77.43,7.23,2.39,2.29,77.42,29.48,84.3,1.15,40.7
21041,61.9,0.06,21.7,29.51,40.06,0,4.03,,,33.99,,
21043,35.1,0.05,8.93,18,45.69,,10.88,0.63,0.03,7.31,,0.26
21045,63,0.04,22.99,28.92,32.78,0.43,7.66,23.39,5.08,35.18,,16.22
21047,75.3,1.48,53.52,62.6,10.86,5.13,3.16,66.27,10.71,78.51,0.85,39.12
21049,91.1,0.05,41.07,32.58,50.41,0.15,2.84,17.39,0.33,25.79,0.49,0.7
21051,14.8,0.08,2.76,12,22.24,0,2.89,8.02,0,17.51,0.3,3.72
21053,51.6,0.01,18.86,30.28,42.34,,12.17,7.35,0,44.24,,
21055,68.6,,34.39,39.28,18.64,6.6,3.38,29.47,1.46,61.45,0.12,19.51
21057,41.8,0.01,11.55,21.9,30.43,,6.7,17.65,,42.42,,7.16
21059,81.1,4.58,65.04,76.95,8.14,0.53,8.1,68.23,9.56,84.49,,38.76
21061,42.1,0.01,19.65,35.21,29.58,6.35,6.2,10.28,,42.43,,2.95
21063,36.7,0.01,10.08,16.57,49.53,0.13,12.78,0.48,0,5.57,0,
21065,32.8,0.09,8.8,20.83,40.89,,3.02,3.32,,14.75,,
21067,63.1,0.26,18.56,22.43,58.49,0.08,16.45,14.35,2.77,70.27,0.85,4.74
21069,76.9,,34.65,38.34,39.71,0.29,14.11,10.62,0.16,36.41,1.01,6.97
21071,3.6,,0.82,12,44.33,0,3.85,12.96,0,26.21,0,0.34
21073,56.1,0.21,22.07,26.53,42.33,,2.95,1.72,0.2,15.44,1.05,1.66
21075,74.1,7.18,65.72,85.09,1.52,1.61,5.11,39.71,16.39,93.11,,13.14
21077,51.6,0.05,22.58,34.21,36.22,0,3.33,6.42,,41.22,,1.46
21079,95.8,0.02,38.55,30.01,53.35,,3.45,7.8,1.31,16.88,1.16,1.12
21081,58.6,,21.48,26.14,48.14,0.13,7.59,3.61,0,7.68,0.07,0.48
21083,71.1,2.02,55.16,67.63,8.77,4.43,4.35,54.7,8.47,72.37,1.59,16.39
21085,66.5,0.09,29.86,34.01,30.83,4.28,8.68,18.19,0.5,50.62,0.11,11.52
21087,85.4,0.05,41.59,36.29,32,9.5,5.18,32.79,0.25,50.04,0.19,17.04
21089,33.5,0.1,8.6,16.33,39.45,0.43,10.63,5.5,0,12.93,2.73,
21091,39.7,0.04,17.82,38.95,25.87,1.45,3.88,42.33,,54.15,0.37,22.75
21093,49.9,,27.47,46.79,26.49,0.9,3.24,31.17,3.43,69.4,3.55,13.98
21095,2.3,,0.16,5.26,4.91,0,9.68,,0,10.11,,
21097,85.5,0.72,36.32,34.33,42.98,0.17,3.72,12.51,0.26,26.14,0.75,5.66
21099,64.3,0.13,27.94,28.05,31.11,7.31,6,14.51,3,33.06,0.08,2.88
21101,64.7,5.07,56.13,82.5,5.35,1.41,5.96,43.79,5.1,93.73,0.56,18.66
21103,71.5,0.19,35.61,40.35,36.74,0.1,5.31,18.48,1.56,30.55,0.79,8.95
21105,76.4,8.03,66.99,80.85,3.1,3.12,8.7,76.37,17.41,89.31,0.21,29.26
21107,42.2,0.04,26.24,54.54,14.44,2.91,17.2,51.65,6.62,80.16,0.94,25.41
21109,34,0.05,11.82,24.28,39.48,0.06,9.28,0.53,,3.88,0.22,0.16
21111,8.3,0.4,3.11,27.94,29.37,,8.1,5.86,,29.33,0,1.35
21113,69.2,0.04,29.37,34.29,50.18,,7.24,9.08,0.08,25.38,0.35,0.51
21115,13.1,0.01,2.27,10.04,42.2,0,5.89,0.32,0,4.13,0,0.21
21117,35.8,0.03,15.53,31.26,37.15,0.14,7.87,1.3,0.02,7.54,0.13,1.19
21119,5.7,,0.25,2.57,37.5,0,14.79,,0,,,
21121,15.7,0.04,4.85,21.63,29.48,0,9.59,0.34,0,11.06,,0
21123,65.9,0.01,40.43,56.19,23.31,0.95,3.86,43.51,,69.88,,25.11
21125,32.3,0.04,12.63,29.53,45.68,0,11.13,2.8,,10.59,,0.42
21127,19.3,,2.99,10.26,41.54,,3.65,,0,2.54,0,
21129,18.8,0,6.38,22.77,24.57,,6.92,0.5,0,4.06,0,
21131,0.6,0.36,0.08,,36.33,0,,41.28,0,7.34,0,0
21133,2.6,0,0.19,4.25,45.92,0,3.83,2.63,0,16.27,0,0
21135,38,,13.51,24.66,24.83,0.02,7.65,3.98,0,45.92,0,3.33
21137,76.6,0.02,32.38,37.37,38.79,0.12,11.49,10.8,,40.01,0.36,2.87
21139,60.7,0.02,30.76,37.85,30.77,4.62,0.5,44.47,3.03,50.72,,12.64
21141,78.2,1.75,55.24,60.36,13.07,7.05,3.19,66.37,13.52,77.13,0.97,23.27
21143,23.9,,12.88,44.67,27.57,2.44,0.52,17.32,6.72,41.81,,10.73
21145,39,0.25,31.78,74.5,7.14,2.08,1.34,59.43,8.16,75.8,0.88,13.52
21147,6.7,,1.38,18.73,35.38,0,14.44,4.07,0,14.25,0,0
21149,80,,66.89,76.2,5.48,2.1,8.15,51.58,5.68,85.34,0.5,32.28
21151,82.1,0.06,26.72,24.1,58.26,0.03,3.95,2.91,0.86,10.91,0.19,0.14
21153,22.2,0.02,3.58,10.39,39.77,0,7.96,1.57,0,6.22,0,0.11
21155,74.2,0.01,38.81,44.6,31.13,0.49,5.84,29.72,4.59,48.09,0.25,3.94
21157,43.9,0.08,27.43,52.63,19.3,4.34,7.5,21.48,0.6,71.21,0.01,13.1
21159,7.5,0,1.57,,33.12,0,11.18,0,0,0,0,0
21161,86,0,44.7,42.3,40.93,,4.02,27.79,0.63,36.04,1.13,9.71
21163,72.2,0.02,41.11,45.6,31.98,0.81,5.29,17.35,2.57,73.95,1.05,18.72
21165,27.1,0.02,6.28,16,36.4,0,3.66,0.24,,5.01,0,0.07
21167,85.7,0.02,37.47,33.88,44.9,0.23,5.53,11.4,,29.51,,4.01
21169,74.7,0.03,31.6,31.11,37.02,4.24,10.93,19.6,4.59,37.28,2.34,8.69
21171,75.8,0.03,28.99,30.96,38.69,0.13,13.81,36.7,1.89,61.91,2.53,9.36
21173,81.6,0.01,32.48,29.73,52.3,0.15,4.5,5.47,,13.06,0.36,
21175,43.7,0.05,9.51,15.44,32.12,0,10.51,0.79,,8.14,0.06,0.16
21177,42.7,0.02,23.18,45.47,21.45,4.56,2.61,51.34,3.49,79.04,1.85,17.23
21179,79.9,0.09,42.67,46.08,29.74,0.22,5.58,37.77,3.7,52.79,0.3,20.98
21181,74.4,0.01,31.53,27.26,57.04,,4.15,6.37,0.56,19.52,0.46,0.19
21183,41.9,,22.97,48.15,22.72,0.83,4.75,38.76,1.48,71.53,5.91,33.07
21185,42.9,0.12,17.8,34.86,34.68,0.09,5.97,12.51,0.21,43.58,0,11.66
21187,70,0.31,27.45,27.18,46.52,,4.99,16.53,0.13,18.78,0.27,
21189,23.1,,8.13,12.86,26.39,0,2.59,0.83,0,4.11,0,
21191,62.7,0.45,21.55,23.67,45.78,0.1,7.05,6.37,2.17,11.82,0.76,1.34
